frac01
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(37),09.10.2003 17:27:02,459370,-7.32602e+06,2751.37,3.048e-07,366.258,10.0855,365.214,999.453,0.318,0.076258,2.39161,0.0403953,353.598,10.0429,2.89592,11.8142,11.6168,1.04328,12.6601,
Internal Node(37),16.06.2004 10:41:46,459370,-7.32602e+06,2751.37,0.0143843,367.034,10.0841,365.518,999.376,0.318,0.0727365,2.39161,0.0363743,353.49,10.0422,3.05437,12.064,12.0277,1.51609,13.5438,
Internal Node(37),19.10.2004 19:19:08,459370,-7.32602e+06,2751.39,0.00510771,367.123,10.0818,365.567,999.382,0.318,0.0667078,2.39161,0.0378939,352.49,10.0415,3.37771,12.9661,13.0776,1.55577,14.6333,
Internal Node(37),27.06.2005 12:33:53,459370,-7.32602e+06,2751.39,3.048e-07,367.196,10.0794,365.659,999.385,0.318,0.063959,2.39161,0.0381341,352.129,10.0409,3.54522,14.2793,13.5299,1.53678,15.0666,
Internal Node(37),10.11.2006 23:03:22,459370,-7.32602e+06,2751.42,3.048e-07,367.057,10.0768,365.606,999.378,0.318,0.0591148,2.39161,0.0320454,351.137,10.0404,3.88841,15.0119,14.4684,1.45135,15.9198,
Internal Node(37),01.12.2006,459370,-7.32602e+06,2751.44,3.048e-07,365.994,10.0754,365.878,999.606,0.318,0.0509791,2.39161,0.0513931,349.702,10.0396,4.68505,15.327,16.1759,0.116251,16.2921,
Internal Node(37),01.12.2006,459370,-7.32602e+06,2751.44,3.048e-07,365.994,10.0754,365.878,999.606,0.318,0.0509791,2.39161,0.0513931,349.702,10.0396,4.68505,15.327,16.1759,0.116251,16.2921,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(38),09.12.1997 22:12:00,459359,-7.326e+06,2739.16,0.0986367,386.466,10.1014,382.66,1000.28,0.318,0.050113,81.0515,0.168276,327.49,21.95,0.331836,46.2447,55.1706,3.80624,58.9769,
Internal Node(38),05.02.1998 14:35:11,459360,-7.326e+06,2739.93,0.0150889,386.777,10.0707,386.147,1000.09,0.318,0.117472,2.39161,0.0626351,343.986,12.0081,0.742553,44.5924,42.1608,0.629317,42.7902,
Internal Node(38),12.04.1998 23:29:05,459362,-7.326e+06,2741.66,3.048e-07,387.378,10.0711,388.898,1000.24,0.318,0.00772454,2.39161,0.0577111,345.73,11.2037,0.716173,33.7808,43.1686,-1.52002,41.6486,
Internal Node(38),16.08.1998 08:06:27,459364,-7.32601e+06,2743.8,3.048e-07,370.082,10.0611,390.671,999.891,0.318,0.0157097,2.39161,0.0373564,351.983,10.6341,0.699945,35.819,38.6883,-20.589,18.0993,
Internal Node(38),18.10.1998 00:25:09,459364,-7.32601e+06,2743.59,3.048e-07,359.249,10.1248,361.478,999.041,0.318,0.0295848,2.39161,0.0465987,327.856,10.2383,1.07959,15.7516,33.6224,-2.22974,31.3927,
Internal Node(38),19.12.1998 16:43:50,459365,-7.32601e+06,2744.67,3.048e-07,360.035,10.0891,370.366,999.394,0.318,0.0358688,2.39161,0.0315852,343.67,10.1451,1.01324,31.0832,26.6963,-10.3313,16.365,
Internal Node(38),20.02.1999 09:02:31,459366,-7.32601e+06,2744.43,0.00285976,356.831,10.1073,357.99,998.9,0.318,0.0549469,2.39161,0.111045,332.195,10.1139,1.20881,16.7815,25.795,-1.159,24.636,
Internal Node(38),25.06.1999 17:39:53,459368,-7.32602e+06,2745.22,3.048e-07,357.407,10.0902,364.329,999.279,0.318,0.0264497,2.39161,0.058326,343.749,10.0874,1.06369,25.4839,20.5795,-6.92176,13.6578,
Internal Node(38),27.08.1999 09:58:34,459369,-7.32602e+06,2744.98,0.0117628,349.671,10.1158,349.818,998.572,0.318,0.0505995,2.39161,0.0976907,332.975,10.0884,1.42863,11.8587,16.8428,-0.147316,16.6955,
Internal Node(38),30.12.1999 18:35:56,459370,-7.32602e+06,2746.02,3.048e-07,346.898,10.1015,354.323,998.805,0.318,0.0620614,2.39161,0.0162399,341.647,10.0635,1.4223,18.1401,12.6757,-7.42508,5.2506,
Internal Node(38),06.09.2000 11:50:41,459371,-7.32602e+06,2746.51,0.143957,353.576,10.1237,349.179,998.568,0.318,0.0985221,251.965,0.122405,338.903,10.0605,1.62258,9.2313,10.277,4.39644,14.6734,
Internal Node(38),09.01.2001 20:28:03,459375,-7.32603e+06,2748.43,3.048e-07,358.026,10.1053,357.716,999.115,0.318,0.0994318,2.39161,0.0326228,352.149,10.1024,2.06863,12.7268,5.56684,0.310192,5.87703,
Internal Node(38),13.03.2001 12:46:44,459375,-7.32603e+06,2748.43,0.0579632,357.721,10.1084,355.335,998.944,0.318,0.0899848,16.4477,0.0724241,347.43,10.0908,2.29293,9.71098,7.90526,2.386,10.2913,
Internal Node(38),15.05.2001 05:05:26,459376,-7.32603e+06,2747.89,3.048e-07,358.774,10.1004,357.963,999.083,0.318,0.0817908,2.39161,0.0279518,351.511,10.0626,2.48356,10.6128,6.45159,0.810954,7.26255,
Internal Node(38),17.09.2001 13:42:48,459376,-7.32603e+06,2747.89,0.0520246,360.586,10.099,358.056,999.072,0.318,0.077785,11.8925,0.0538264,350.94,10.0603,2.61397,9.05251,7.11592,2.53066,9.64658,
Internal Node(38),20.01.2002 22:20:10,459377,-7.32603e+06,2748.27,0.0597245,362.389,10.0904,359.815,999.158,0.318,0.0734062,17.993,0.0412189,352.489,10.0648,2.77886,10.6691,7.32523,2.57439,9.89962,
Internal Node(38),26.05.2002 06:57:32,459377,-7.32603e+06,2748.94,0.0513398,363.935,10.0868,361.61,999.229,0.318,0.0718483,11.429,0.0248234,353.279,10.0714,2.84337,10.852,8.33082,2.32519,10.656,
Internal Node(38),28.09.2002 15:34:55,459376,-7.32603e+06,2749.15,0.0581697,364.941,10.0892,362.313,999.28,0.318,0.0683797,16.6241,0.0233539,352.773,10.0647,2.9911,10.9775,9.5396,2.62797,12.1676,
Internal Node(38),30.11.2002 07:53:36,459376,-7.32603e+06,2749.52,0.0275311,365.359,10.0872,363.482,999.3,0.318,0.0667752,2.39161,0.0244983,353.393,10.0586,3.07082,11.2149,10.0891,1.87655,11.9657,
Internal Node(38),01.02.2003 00:12:17,459376,-7.32603e+06,2749.75,3.048e-07,364.726,10.0877,363.694,999.374,0.318,0.0663235,2.39161,0.0184945,352.777,10.0544,3.09529,11.3273,10.9168,1.03191,11.9487,
Internal Node(38),04.04.2003 16:30:58,459375,-7.32603e+06,2749.8,0.0272965,366.316,10.0872,364.381,999.441,0.318,0.0648375,2.39161,0.0381987,353.354,10.0507,3.17005,11.14,11.0268,1.93525,12.9621,
Internal Node(38),06.06.2003 08:49:39,459375,-7.32603e+06,2749.82,0.0180861,366.267,10.0855,364.519,999.352,0.318,0.0632365,2.39161,0.0435455,353.185,10.0479,3.2541,11.9513,11.334,1.74762,13.0817,
Internal Node(38),09.10.2003 17:27:02,459375,-7.32603e+06,2749.85,0.00142288,365.997,10.0855,364.557,999.446,0.318,0.0618234,2.39161,0.0477632,352.613,10.046,3.33226,12.1955,11.9442,1.44014,13.3843,
Internal Node(38),16.06.2004 10:41:46,459375,-7.32603e+06,2749.85,0.0136887,366.771,10.0841,364.967,999.364,0.318,0.05883,2.39161,0.0436205,352.492,10.044,3.50849,12.4265,12.4755,1.80375,14.2792,
Internal Node(38),19.10.2004 19:19:08,459375,-7.32603e+06,2749.88,3.048e-07,366.85,10.0818,365.199,999.369,0.318,0.0537875,2.39161,0.0451669,351.467,10.0424,3.85199,13.3841,13.732,1.65117,15.3832,
Internal Node(38),27.06.2005 12:33:53,459375,-7.32603e+06,2749.89,3.048e-07,366.921,10.0794,365.363,999.372,0.318,0.051518,2.39161,0.0448946,351.069,10.0414,4.0289,14.6916,14.2935,1.55839,15.8519,
Internal Node(38),10.11.2006 23:03:22,459375,-7.32603e+06,2749.91,3.048e-07,366.776,10.0768,365.401,999.365,0.318,0.0475148,2.39161,0.0394486,350.031,10.0407,4.38411,15.468,15.37,1.37522,16.7452,
Internal Node(38),01.12.2006,459375,-7.32603e+06,2749.93,3.048e-07,365.767,10.0754,365.703,999.6,0.318,0.0413232,2.39161,0.0646217,348.25,10.0399,5.10249,16.0545,17.4532,0.0637642,17.517,
Internal Node(38),01.12.2006,459375,-7.32603e+06,2749.93,3.048e-07,365.767,10.0754,365.703,999.6,0.318,0.0413232,2.39161,0.0646217,348.25,10.0399,5.10249,16.0545,17.4532,0.0637642,17.517,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(39),09.12.1997 22:12:00,459360,-7.326e+06,2738.04,0.0983077,386.35,10.1014,378.632,1000.28,0.318,0.0709014,80.2433,0.27453,325.382,20.2003,0.228281,51.7443,53.2493,7.71821,60.9675,
Internal Node(39),05.02.1998 14:35:11,459362,-7.326e+06,2738.65,0.023936,386.625,10.0707,384.42,1000.09,0.318,0.122955,2.39161,0.140314,343.188,11.9996,0.697622,42.1204,41.2319,2.2055,43.4374,
Internal Node(39),12.04.1998 23:29:05,459364,-7.32601e+06,2739.76,3.048e-07,387.056,10.0711,386.958,1000.22,0.318,0.185446,2.39161,0.118545,344.6,11.6505,0.69906,32.8911,42.3586,0.0974572,42.4561,
Internal Node(39),16.08.1998 08:06:27,459366,-7.32601e+06,2742.07,3.048e-07,369.865,10.0611,388.844,999.891,0.318,0.0191609,2.39161,0.0537053,350.549,10.9034,0.696239,36.6263,38.2953,-18.9789,19.3164,
Internal Node(39),18.10.1998 00:25:09,459366,-7.32601e+06,2741.61,0.00115672,359.002,10.1248,359.117,999.031,0.318,0.0898255,2.39161,0.0653472,327.099,10.3135,1.15228,16.1324,32.0178,-0.115478,31.9023,
Internal Node(39),19.12.1998 16:43:50,459368,-7.32602e+06,2743.17,3.048e-07,359.837,10.0891,368.662,999.394,0.318,0.00785562,2.39161,0.0818032,342.16,10.1968,0.955343,31.7898,26.5019,-8.82496,17.677,
Internal Node(39),20.02.1999 09:02:31,459368,-7.32602e+06,2742.62,0.0205688,356.67,10.1073,356.087,998.892,0.318,0.0185648,2.39161,0.0957787,331.317,10.1507,1.21427,17.2553,24.7699,0.582725,25.3526,
Internal Node(39),25.06.1999 17:39:53,459372,-7.32603e+06,2743.33,3.048e-07,357.1,10.0902,362.898,999.279,0.318,0.0250293,2.39161,0.29008,341.853,10.2109,0.863474,24.1219,21.0456,-5.79817,15.2474,
Internal Node(39),27.08.1999 09:58:34,459372,-7.32603e+06,2743.47,0.0132339,349.471,10.1158,349.229,998.563,0.318,0.0457403,2.39161,0.10622,332.18,10.1352,1.26572,10.9254,17.0489,0.242664,17.2916,
Internal Node(39),30.12.1999 18:35:56,459373,-7.32603e+06,2744.85,3.048e-07,346.751,10.1015,354.074,998.805,0.318,0.0560749,2.39161,0.0440432,340.036,10.1048,1.17876,18.7595,14.0383,-7.32346,6.71486,
Internal Node(39),06.09.2000 11:50:41,459375,-7.32603e+06,2745.38,0.116633,353.45,10.1237,349.375,998.553,0.318,0.0423736,134,0.273845,337.867,10.0866,1.32193,9.56226,11.5078,4.07588,15.5837,
Internal Node(39),09.01.2001 20:28:03,459380,-7.32604e+06,2746.56,0.0194685,357.806,10.1053,356.123,999.107,0.318,0.0704877,2.39161,0.0629942,350.78,10.067,1.76006,15.0259,5.34316,1.6826,7.02577,
Internal Node(39),13.03.2001 12:46:44,459379,-7.32604e+06,2746.68,0.0628224,357.516,10.1084,354.483,998.934,0.318,0.0760846,20.9406,0.0980359,347.102,10.0635,2.15158,10.4628,7.3804,3.03363,10.414,
Internal Node(39),15.05.2001 05:05:26,459383,-7.32605e+06,2746,0.0125809,358.545,10.1004,357.454,999.074,0.318,0.0764433,2.39161,0.0402459,350.574,10.0685,1.80796,11.8546,6.88035,1.09059,7.97095,
Internal Node(39),17.09.2001 13:42:48,459382,-7.32604e+06,2746.42,0.0505765,360.411,10.099,357.875,999.063,0.318,0.0703078,10.9268,0.0834249,350.613,10.0652,2.2056,9.66284,7.26156,2.53616,9.79772,
Internal Node(39),20.01.2002 22:20:10,459382,-7.32605e+06,2746.6,0.0659461,362.214,10.0904,359.249,999.15,0.318,0.0651172,24.2222,0.0513882,351.827,10.0605,2.45781,11.8093,7.42161,2.96544,10.3871,
Internal Node(39),26.05.2002 06:57:32,459382,-7.32604e+06,2747.1,0.0624671,363.752,10.0868,360.719,999.22,0.318,0.0637964,20.5873,0.03554,352.768,10.0537,2.80748,12.495,7.95095,3.03282,10.9838,
Internal Node(39),28.09.2002 15:34:55,459382,-7.32604e+06,2747.28,0.0658863,364.75,10.0892,361.401,999.271,0.318,0.0596031,24.1564,0.0669578,352.274,10.0514,3.14039,12.6115,9.12681,3.34901,12.4758,
Internal Node(39),30.11.2002 07:53:36,459382,-7.32604e+06,2747.43,0.0379271,365.148,10.0872,362.485,999.291,0.318,0.0567218,4.60781,0.0645489,352.829,10.048,3.41688,13.0297,9.65611,2.66297,12.3191,
Internal Node(39),01.02.2003 00:12:17,459381,-7.32604e+06,2747.74,0.00179377,364.498,10.0877,362.597,999.364,0.318,0.0574111,2.39161,0.0392199,352.18,10.0445,3.57841,13.0552,10.4174,1.90053,12.3179,
Internal Node(39),04.04.2003 16:30:58,459381,-7.32604e+06,2747.83,0.0362015,366.085,10.0872,363.35,999.432,0.318,0.0556867,4.00706,0.0849649,352.708,10.0446,3.69088,12.7289,10.6421,2.7353,13.3774,
Internal Node(39),06.06.2003 08:49:39,459381,-7.32604e+06,2747.86,0.0269727,366.005,10.0855,363.546,999.342,0.318,0.0539729,2.39161,0.0706873,352.501,10.0441,3.80957,13.5111,11.0445,2.45976,13.5043,
Internal Node(39),09.10.2003 17:27:02,459380,-7.32604e+06,2747.9,0.00906585,365.704,10.0855,363.658,999.437,0.318,0.052508,2.39161,0.0809836,351.917,10.0438,3.9173,13.6616,11.7411,2.04555,13.7867,
Internal Node(39),16.06.2004 10:41:46,459381,-7.32604e+06,2747.89,0.0199202,366.496,10.0841,364.203,999.351,0.318,0.0494935,2.39161,0.0685214,351.769,10.043,4.15834,13.8103,12.4334,2.29306,14.7265,
Internal Node(39),19.10.2004 19:19:08,459380,-7.32604e+06,2747.94,0.00152148,366.563,10.0818,364.705,999.356,0.318,0.0447046,2.39161,0.076043,350.73,10.0422,4.60887,14.6988,13.9753,1.85773,15.8331,
Internal Node(39),27.06.2005 12:33:53,459380,-7.32604e+06,2747.96,3.048e-07,366.637,10.0794,364.97,999.359,0.318,0.0426144,2.39161,0.0747558,350.289,10.0414,4.83721,16.0124,14.6805,1.66683,16.3473,
Internal Node(39),10.11.2006 23:03:22,459380,-7.32604e+06,2747.99,3.048e-07,366.471,10.0768,365.183,999.351,0.318,0.0389908,2.39161,0.0733892,349.216,10.0409,5.29116,16.7335,15.967,1.28757,17.2546,
Internal Node(39),01.12.2006,459380,-7.32604e+06,2748.02,3.048e-07,365.541,10.0754,365.59,999.591,0.318,0.0337183,2.39161,0.0763349,347.147,10.0401,6.1259,17.4021,18.4424,-0.0489296,18.3934,
Internal Node(39),01.12.2006,459380,-7.32604e+06,2748.02,3.048e-07,365.541,10.0754,365.59,999.591,0.318,0.0337183,2.39161,0.0763349,347.147,10.0401,6.1259,17.4021,18.4424,-0.0489296,18.3934,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(40),09.12.1997 22:12:00,459361,-7.326e+06,2736.5,0.090237,386.182,10.1014,373.447,1000.27,0.318,0.0830249,62.0584,0.457061,324.145,17.4817,0.192392,54.4368,49.3016,12.7352,62.0368,
Internal Node(40),05.02.1998 14:35:11,459363,-7.32601e+06,2736.98,0.0301763,386.383,10.0707,381.387,1000.09,0.318,0.125252,2.39161,0.280691,342.388,11.2377,0.676825,36.0322,38.9987,4.99545,43.9941,
Internal Node(40),12.04.1998 23:29:05,459365,-7.32601e+06,2737.51,0.0126666,386.824,10.0711,383.171,1000.21,0.318,0.0367122,2.39161,0.220352,343.598,10.9668,0.630492,36.2344,39.5732,3.65291,43.2261,
Internal Node(40),16.08.1998 08:06:27,459368,-7.32602e+06,2738.37,3.048e-07,369.485,10.0611,383.835,999.891,0.318,0.0332464,2.39161,0.0818604,349.321,10.5313,0.669944,39.8111,34.5139,-14.3501,20.1638,
Internal Node(40),18.10.1998 00:25:09,459367,-7.32602e+06,2738.4,0.0270717,358.66,10.1248,354.863,999.015,0.318,0.0726065,2.39161,0.135861,326.573,10.2699,1.31548,17.0025,28.2899,3.79696,32.0869,
Internal Node(40),19.12.1998 16:43:50,459370,-7.32602e+06,2738.96,3.048e-07,359.258,10.0891,363.885,999.394,0.318,0.0748924,2.39161,0.20909,341.074,10.2545,1.21269,29.0876,22.8108,-4.62712,18.1837,
Internal Node(40),20.02.1999 09:02:31,459370,-7.32602e+06,2739,0.0472156,356.298,10.1073,351.993,998.875,0.318,0.103853,8.89001,0.188215,330.433,10.2372,1.44416,17.3543,21.5609,4.3047,25.8656,
Internal Node(40),25.06.1999 17:39:53,459374,-7.32603e+06,2739.86,3.048e-07,356.25,10.0902,359.331,999.279,0.318,0.0232753,2.39161,0.756136,340.426,10.3046,0.689577,24.8847,18.905,-3.081,15.824,
Internal Node(40),27.08.1999 09:58:34,459374,-7.32603e+06,2739.54,0.0381884,349.072,10.1158,345.848,998.544,0.318,0.0576117,4.70372,0.191743,331.487,10.1752,1.46132,10.2223,14.3617,3.22372,17.5854,
Internal Node(40),30.12.1999 18:35:56,459377,-7.32604e+06,2740.29,3.048e-07,346.184,10.1015,350.63,998.805,0.318,0.0688644,2.39161,0.11059,338.105,10.1863,1.11553,20.3611,12.525,-4.44626,8.07876,
Internal Node(40),06.09.2000 11:50:41,459379,-7.32604e+06,2740.55,0.0986488,352.915,10.1237,346.874,998.494,0.318,0.144425,81.0813,0.503449,335.939,10.2219,1.14362,9.93633,10.9342,6.04082,16.975,
Internal Node(40),09.01.2001 20:28:03,459383,-7.32605e+06,2741.23,0.0477942,357.118,10.1053,353.503,999.081,0.318,0.028809,9.22084,0.337717,347.961,10.1594,1.33117,16.8065,5.54261,3.61475,9.15736,
Internal Node(40),13.03.2001 12:46:44,459383,-7.32605e+06,2741.05,0.0640334,356.918,10.1084,353.311,998.906,0.318,0.0954108,22.1751,0.110734,345.499,10.1406,1.71917,10.6263,7.81152,3.60736,11.4189,
Internal Node(40),15.05.2001 05:05:26,459386,-7.32606e+06,2741.74,0.03306,358.147,10.1004,356.263,999.055,0.318,0.124935,3.05178,0.0379088,348.71,10.134,1.37379,12.6335,7.55261,1.88397,9.43658,
Internal Node(40),17.09.2001 13:42:48,459386,-7.32605e+06,2741.63,0.0472852,359.868,10.099,357.231,999.038,0.318,0.103635,8.92937,0.16435,349.093,10.1345,1.58388,10.3979,8.13856,2.63735,10.7759,
Internal Node(40),20.01.2002 22:20:10,459386,-7.32606e+06,2741.74,0.0654661,361.729,10.0904,358.767,999.127,0.318,0.0882671,23.6971,0.0598045,349.903,10.133,1.9197,12.8104,8.86462,2.96201,11.8266,
Internal Node(40),26.05.2002 06:57:32,459387,-7.32606e+06,2742.26,0.0576514,363.257,10.0868,360.648,999.197,0.318,0.0793546,16.1836,0.0546048,350.866,10.1316,2.18827,13.5512,9.78173,2.60887,12.3906,
Internal Node(40),28.09.2002 15:34:55,459386,-7.32605e+06,2742.72,0.0548503,364.259,10.0892,361.765,999.248,0.318,0.0406904,13.9374,0.118855,350.66,10.1338,2.53542,13.4924,11.105,2.49325,13.5983,
Internal Node(40),30.11.2002 07:53:36,459386,-7.32605e+06,2743.04,0.0286987,364.631,10.0872,363.053,999.266,0.318,0.0372591,2.39161,0.0802998,351.232,10.1236,2.88846,13.9563,11.8214,1.57726,13.3987,
Internal Node(40),01.02.2003 00:12:17,459386,-7.32605e+06,2743.43,3.048e-07,364.008,10.0877,363.308,999.338,0.318,0.0360655,2.39161,0.0765736,350.692,10.1205,3.11735,13.9517,12.6154,0.700126,13.3155,
Internal Node(40),04.04.2003 16:30:58,459385,-7.32605e+06,2743.65,0.0242588,365.495,10.0872,364.006,999.407,0.318,0.0350889,2.39161,0.101414,351.206,10.1151,3.28769,13.7659,12.8006,1.48853,14.2891,
Internal Node(40),06.06.2003 08:49:39,459385,-7.32605e+06,2743.83,0.0165909,365.421,10.0855,364.208,999.315,0.318,0.0344361,2.39161,0.11088,350.996,10.1109,3.42532,14.5113,13.2121,1.21325,14.4254,
Internal Node(40),09.10.2003 17:27:02,459385,-7.32605e+06,2743.94,3.048e-07,365.101,10.0855,364.418,999.412,0.318,0.0335704,2.39161,0.127647,350.47,10.1106,3.56541,14.6371,13.9476,0.682862,14.6305,
Internal Node(40),16.06.2004 10:41:46,459385,-7.32605e+06,2744.01,0.00748986,365.95,10.0841,365.107,999.325,0.318,0.0317582,2.39161,0.102464,350.318,10.1075,3.81813,14.7387,14.7884,0.843284,15.6317,
Internal Node(40),19.10.2004 19:19:08,459385,-7.32605e+06,2744.06,3.048e-07,365.978,10.0818,365.912,999.328,0.318,0.0286027,2.39161,0.118131,349.266,10.1036,4.30421,15.7342,16.6454,0.0665214,16.7119,
Internal Node(40),27.06.2005 12:33:53,459385,-7.32605e+06,2744.09,3.048e-07,366.056,10.0794,366.298,999.332,0.318,0.0272724,2.39161,0.115311,348.791,10.1005,4.54903,17.0633,17.5079,-0.242818,17.2651,
Internal Node(40),10.11.2006 23:03:22,459385,-7.32605e+06,2744.14,3.048e-07,365.879,10.0768,366.758,999.323,0.318,0.0249505,2.39161,0.115018,347.711,10.0966,5.0339,17.8065,19.0478,-0.87938,18.1685,
Internal Node(40),01.12.2006,459385,-7.32605e+06,2744.22,3.048e-07,364.962,10.0754,367.597,999.568,0.318,0.0215996,2.39161,0.10939,345.625,10.0943,5.91787,18.4799,21.9722,-2.63477,19.3374,
Internal Node(40),01.12.2006,459385,-7.32605e+06,2744.22,3.048e-07,364.962,10.0754,367.597,999.568,0.318,0.0215996,2.39161,0.10939,345.625,10.0943,5.91787,18.4799,21.9722,-2.63477,19.3374,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(41),09.12.1997 22:12:00,459360,-7.326e+06,2734.61,0.0713993,386.017,10.1014,380.671,1000.26,0.318,0.0684129,30.7417,0.146114,325.578,22.4515,0.236862,54.8724,55.0926,5.34625,60.4389,
Internal Node(41),05.02.1998 14:35:11,459361,-7.326e+06,2735.29,0.0148714,386.353,10.0707,384.772,1000.09,0.318,0.109565,2.39161,0.132875,343.334,13.9589,0.772768,39.3488,41.4376,1.58087,43.0185,
Internal Node(41),12.04.1998 23:29:05,459363,-7.32601e+06,2734.93,3.048e-07,386.757,10.0711,388.288,1000.21,0.318,0.148552,2.39161,0.116527,344.624,15.2459,0.858222,34.5928,43.6638,-1.53154,42.1323,
Internal Node(41),16.08.1998 08:06:27,459365,-7.32601e+06,2735.04,3.048e-07,369.264,10.0611,388.186,999.891,0.318,0.0207619,2.39161,0.0464923,350.318,14.7299,1.05728,35.517,37.8684,-18.922,18.9464,
Internal Node(41),18.10.1998 00:25:09,459365,-7.32601e+06,2735.45,0.0128685,358.52,10.1248,356.853,999.006,0.318,0.0555581,2.39161,0.0838822,326.635,13.1315,1.68494,15.76,30.2176,1.66674,31.8843,
Internal Node(41),19.12.1998 16:43:50,459367,-7.32602e+06,2735.19,3.048e-07,359.131,10.0891,366.952,999.394,0.318,0.0534751,2.39161,0.107625,341.692,13.9394,1.66163,29.684,25.2597,-7.82076,17.4389,
Internal Node(41),20.02.1999 09:02:31,459367,-7.32602e+06,2735.75,0.033975,356.068,10.1073,352.673,998.864,0.318,0.073392,3.31226,0.0546606,330.554,12.4612,1.98265,16.9552,22.1188,3.39475,25.5135,
Internal Node(41),25.06.1999 17:39:53,459370,-7.32602e+06,2735.44,3.048e-07,356.492,10.0902,361.503,999.279,0.318,0.0929194,2.39161,0.30825,341.291,13.9193,1.51334,23.5473,20.2114,-5.01054,15.2009,
Internal Node(41),27.08.1999 09:58:34,459371,-7.32602e+06,2736.25,0.0335544,348.861,10.1158,345.519,998.534,0.318,0.0907804,3.19075,0.0830569,331.309,11.7489,2.08053,10.7249,14.2098,3.34225,17.5521,
Internal Node(41),30.12.1999 18:35:56,459374,-7.32603e+06,2735.38,3.048e-07,345.862,10.1015,353.634,998.796,0.318,0.0457266,2.39161,0.0539966,338.098,14.2064,1.55857,17.4256,15.5361,-7.77187,7.76424,
Internal Node(41),06.09.2000 11:50:41,459374,-7.32603e+06,2735.41,0.0642521,352.474,10.1237,349.193,998.516,0.318,0.0754647,22.4031,0.0911629,336.101,13.8047,1.97555,8.96815,13.0919,3.28041,16.3723,
Internal Node(41),09.01.2001 20:28:03,459381,-7.32605e+06,2736.2,0.0219497,356.805,10.1053,355.197,999.059,0.318,0.0198491,2.39161,0.0871397,347.451,12.4503,1.66468,15.6011,7.74661,1.60798,9.35458,
Internal Node(41),13.03.2001 12:46:44,459378,-7.32604e+06,2735.46,0.0157165,356.436,10.1084,356.433,998.884,0.318,0.082517,2.39161,0.0171514,344.531,13.4621,2.41791,9.4651,11.902,0.00361059,11.9056,
Internal Node(41),15.05.2001 05:05:26,459383,-7.32605e+06,2737.5,0.0240897,357.8,10.1004,355.563,999.036,0.318,0.0685314,2.39161,0.0205926,348.121,10.1643,2.00252,13.1166,7.4424,2.23673,9.67913,
Internal Node(41),17.09.2001 13:42:48,459380,-7.32604e+06,2736.49,0.0193559,359.466,10.099,358.336,999.02,0.318,0.0500892,2.39161,0.0304943,348.302,11.5415,2.58268,9.81652,10.0335,1.13024,11.1637,
Internal Node(41),20.01.2002 22:20:10,459381,-7.32605e+06,2737.08,0.0356036,361.296,10.0904,359.361,999.107,0.318,0.0453253,3.81178,0.0101012,349.45,10.5289,2.85543,12.6108,9.91059,1.93487,11.8455,
Internal Node(41),26.05.2002 06:57:32,459382,-7.32605e+06,2737.53,0.0292468,362.821,10.0868,361.286,999.177,0.318,0.0407948,2.39161,0.0101742,350.327,10.1822,3.09643,13.5322,10.9598,1.53402,12.4938,
