Clean water 60degC 3000Sm3
,Date,LiquidProduced (Sm3/day),WaterProduced (Sm3/day),OilProduced (Sm3/day),GasProduced (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),FracLiquidProduced (Sm3/day),FracWaterProduced (Sm3/day),FracOilProduced (Sm3/day),FracGasProduced (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),GasLiftRate (1000Sm3/d),DiluentRate (Sm3/day),JetRate (Sm3/day),SurfactantRate (Kg/day),NPV (MMUS$),
Clean water 60degC 3000Sm3,30.05.1996 03:26:06,2398.6,0.000174781,2398.6,4.25054e-13,1.772e-13,7.28681e-08,411217,5.6433e+12,360233,0.0254826,360233,6.38366e-14,2999.87,2999.87,0,0,450409,450409,0,0,9.80882e+10,0,0,0,0,2111.78,2111.78,0,0,-9.82565,0,0,0,0,0,0,130.541,
Clean water 60degC 3000Sm3,09.06.1996 03:26:06,2398.23,0.000178479,2398.23,4.24988e-13,1.772e-13,7.4421e-08,419980,5.6433e+12,384215,0.0272674,384215,6.80865e-14,2999.87,2999.87,0,0,480407,480407,0,0,1.04484e+11,0,0,0,0,2074.04,2074.04,0,0,-9.77596,0,0,0,0,0,0,139.052,
Clean water 60degC 3000Sm3,19.06.1996 03:26:06,2397.89,0.0001823,2397.89,4.24929e-13,1.772e-13,7.60252e-08,429033,5.6433e+12,408194,0.0290904,408194,7.23358e-14,2999.87,2999.87,0,0,510406,510406,0,0,1.10848e+11,0,0,0,0,2085.55,2085.55,0,0,-9.78031,0,0,0,0,0,0,147.539,
Clean water 60degC 3000Sm3,29.06.1996 03:26:06,2397.55,0.000186431,2397.55,4.24868e-13,1.772e-13,7.77591e-08,438818,5.6433e+12,432169,0.0309547,432169,7.65845e-14,2999.87,2999.87,0,0,540404,540404,0,0,1.17209e+11,0,0,0,0,2064.97,2064.97,0,0,-9.80298,0,0,0,0,0,0,156.002,
Clean water 60degC 3000Sm3,13.07.1996 16:48:00,2396.94,0.000189993,2396.94,4.24759e-13,1.772e-13,7.92651e-08,447317,5.6433e+12,467062,0.0337064,467062,8.27679e-14,2999.87,2999.87,0,0,584073,584073,0,0,1.26676e+11,0,0,0,0,1565.27,1565.27,0,0,-9.44647,0,0,0,0,0,0,168.28,
Clean water 60degC 3000Sm3,23.07.1996 16:48:00,2396.88,0.000190185,2396.88,4.24749e-13,1.772e-13,7.9347e-08,447779,5.6433e+12,491031,0.0356082,491031,8.70154e-14,2999.87,2999.87,0,0,614072,614072,0,0,1.33309e+11,0,0,0,0,1612.91,1612.91,0,0,-9.42504,0,0,0,0,0,0,176.688,
Clean water 60degC 3000Sm3,02.08.1996 16:48:00,2396.84,0.000190104,2396.84,4.24742e-13,1.772e-13,7.93141e-08,447593,5.6433e+12,515000,0.0375092,515000,9.12628e-14,2999.87,2999.87,0,0,644070,644070,0,0,1.39954e+11,0,0,0,0,1546.84,1546.84,0,0,-9.40579,0,0,0,0,0,0,185.073,
Clean water 60degC 3000Sm3,12.08.1996 16:48:00,2396.82,0.000189805,2396.82,4.24739e-13,1.772e-13,7.91901e-08,446893,5.6433e+12,538968,0.0394073,538968,9.55102e-14,2999.87,2999.87,0,0,674069,674069,0,0,1.46311e+11,0,0,0,0,2252.3,2252.3,0,0,-9.38095,0,0,0,0,0,0,193.436,
Clean water 60degC 3000Sm3,22.08.1996 16:48:00,2396.81,0.000193528,2396.81,4.24737e-13,1.772e-13,8.07439e-08,455662,5.6433e+12,562936,0.0413426,562936,9.97575e-14,2999.87,2999.87,0,0,704067,704067,0,0,1.52738e+11,0,0,0,0,2070.67,2070.67,0,0,-9.76602,0,0,0,0,0,0,201.777,
Clean water 60degC 3000Sm3,01.09.1996 16:48:00,2396.48,0.000199231,2396.48,4.24679e-13,1.772e-13,8.31349e-08,469155,5.6433e+12,586901,0.0433349,586901,1.04004e-13,2999.86,2999.86,0,0,734066,734066,0,0,1.59023e+11,0,0,0,0,2137.42,2137.42,0,0,-9.95452,0,0,0,0,0,0,210.096,
