,Date,BottomHolePressure (BARa),SandfacePressureRef|BottomHolePressureRef (BARa),DrainageRegionPressureRef|DrainageRegionPressure (BARa),LiquidProductivityIndex (Sm3/day/bar),GasProductivityIndex (Sm3/day/bar),ProductivityIndexResCond (Rm3/day/bar),WellIndexResCond (Rm3/day/bar),BottomHoleTemperature (deg C),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),HallIntegral (Bar.d),HallVoidageDerivative (Bar.d),HallWaterDerivative (Bar.d),HallGasDerivative (Bar.d),WaterBreakthroughTime (days),GasBreakthroughTime (days),TransitTime (days),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),NPV (MMUS$),
I1,19.06.1996 03:26:06,346.415,348.136,292.165,53.5967,0,53.5951,457.567,60,2999.87,2999.87,0,0,2085.55,2085.55,0,0,0,0,0,0,9953.77,9240.42,9240.42,0,760.384,1e+06,888.319,0,0,0,0,510406,510406,0,0,1.71823e+11,2999.99,3000,510429,-3.14014,
I1,29.06.1996 03:26:06,345.319,347.048,290.738,53.2748,0,53.2732,444.795,60,2999.87,2999.87,0,0,2064.97,2064.97,0,0,0,0,0,0,10516.9,9859.5,9859.51,0,761.663,1e+06,891.326,0,0,0,0,540404,540404,0,0,1.81765e+11,2999.99,3000,540429,-3.32039,
I1,13.07.1996 16:48:00,351.465,353.203,290.146,47.5733,0,47.572,261.559,60,2999.87,2999.87,0,0,1565.27,1565.27,0,0,0,0,0,0,11382.3,12074.4,12074.4,0,736.462,1e+06,886.121,0,0,0,0,584073,584073,0,0,1.96444e+11,2999.99,3000,584100,-3.58195,
I1,23.07.1996 16:48:00,351.274,353.019,290.354,47.8715,0,47.8701,269.904,60,2999.87,2999.87,0,0,1612.91,1612.91,0,0,0,0,0,0,12009,12511.6,12511.6,0,734.16,1e+06,884.92,0,0,0,0,614072,614072,0,0,2.06658e+11,2999.99,3000,614100,-3.76106,
I1,02.08.1996 16:48:00,352.367,354.119,290.531,47.1764,0,47.175,256.419,60,2999.87,2999.87,0,0,1546.84,1546.84,0,0,0,0,0,0,12644.9,13331.9,13331.9,0,735.058,1e+06,887.102,0,0,0,0,644070,644070,0,0,2.16883e+11,2999.99,3000,644100,-3.9397,
I1,12.08.1996 16:48:00,343.559,345.318,290.299,54.524,0,54.5224,578.412,60,2999.87,2999.87,0,0,2252.3,2252.3,0,0,0,0,0,0,13195.1,12085.6,12085.6,0,742.062,1e+06,898.986,0,0,0,0,674069,674069,0,0,2.26821e+11,2999.99,3000,674100,-4.11787,
I1,22.08.1996 16:48:00,344.546,346.312,288.994,52.3365,0,52.335,442.545,60,2999.87,2999.87,0,0,2070.67,2070.67,0,0,0,0,0,0,13768.3,13164,13164.1,0,723.627,1e+06,902.791,0,0,0,0,704067,704067,0,0,2.36828e+11,2999.99,3000,704100,-4.29558,
I1,01.09.1996 16:48:00,341.045,342.817,286.703,53.4602,0,53.4587,481.394,60,2999.86,2999.86,0,0,2137.42,2137.42,0,0,0,0,0,0,14329.4,13448.6,13448.6,0,727.617,1e+06,910.789,0,0,0,0,734066,734066,0,0,2.46693e+11,2999.99,3000,734100,-4.47282,
I1,11.09.1996 16:48:00,340.002,341.781,284.505,52.3755,0,52.374,419.377,60,2999.86,2999.86,0,0,2041.4,2041.4,0,0,0,0,0,0,14902.2,14299.9,14299.9,0,728.271,1e+06,916.046,0,0,0,0,764064,764064,0,0,2.56556e+11,2999.99,3000,764100,-4.64961,
I1,21.09.1996 16:48:00,347.422,349.208,285.08,46.7794,0,46.778,261.102,60,2999.86,2999.86,0,0,1563.3,1563.3,0,0,0,0,0,0,15543.4,16652,16652,0,701.979,1e+06,904.143,0,0,0,0,794063,794063,0,0,2.6678e+11,2999.99,3000,794100,-4.82593,
